NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;ANO_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO;TIPO_PRODUTO
TOMUDEX;22/11/1999;1999;NOVO;116180069;01/11/2014;25000035659;ANTINEOPLASICOS CITOTOXICOS;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
vacina adsorvida difteria, tétano, pertussis (acelular), Haemophilus ;22/11/1999;1999;NOVO;101070155;01/11/2019;25000028466;VACINAS;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ATACAND;29/11/1999;1999;NOVO;116180095;01/02/2028;25000031695;ANTI-HIPERTENSIVOS SIMPLES;60318797000100 - ASTRAZENECA DO BRASIL LTDA;VÁLIDO;CANDESARTANA CILEXETILA;MEDICAMENTO
ATACAND HCT;29/11/1999;1999;NOVO;116180083;01/09/2029;25000011252;ANTI-HIPERTENSIVOS;60318797000100 - ASTRAZENECA DO BRASIL LTDA;VÁLIDO;CANDESARTANA CILEXETILA +  HIDROCLOROTIAZIDA;MEDICAMENTO
BAMBEC;29/11/1999;1999;NOVO;116180070;01/06/2018;25000019509;BRONCODILATADORES;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BRICANYL COMPOSTO EXPECTORANTE;29/11/1999;1999;NOVO;116180085;;25992004841;BRONCODILATADORES;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DAUNOBLASTINA;29/11/1999;1999;NOVO;123890045;01/12/2008;25001012264;ANTIBIOTICOS ANTINEOPLASICOS;71699490000104 - PHARMACIA BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MARCAINA COM EPINEFRINA;29/11/1999;1999;NOVO;116180099;01/06/2006;25992011281;ANESTESICOS LOCAIS;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MUSE;29/11/1999;1999;NOVO;116180081;01/01/2003;25000022929;VASODILATADORES;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SELOZOK;29/11/1999;1999;NOVO;116180077;01/11/2026;25000019711;BETABLOQUEADORES SIMPLES;60318797000100 - ASTRAZENECA DO BRASIL LTDA;VÁLIDO;SUCCINATO DE METOPROLOL;MEDICAMENTO
SPLENDIL;29/11/1999;1999;NOVO;116180074;01/09/2027;25000005694;ANTI-HIPERTENSIVOS SIMPLES;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TIMOPTOL;29/11/1999;1999;NOVO;100290032;01/06/2021;25991012491;ANTIGLAUCOMATOSOS;45987013000134 - ORGANON FARMACÊUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
VACINA CONTRA  POLIOMIELITE;07/12/1999;1999;NOVO;110630007;01/12/2009;25001020355;VACINAS;33781055000135 - FUNDAÇÃO OSWALDO CRUZ;CADUCO/CANCELADO;;MEDICAMENTO
CODEIN;20/12/1999;1999;NOVO;102980199;01/03/2027;25000031256;ANALGESICOS NARCOTICOS;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;VÁLIDO;FOSFATO DE CODEÍNA;MEDICAMENTO
ICODEXTRINA+ASSOCIACOES DE SAIS;20/12/1999;1999;NOVO;106830101;01/12/2004;25000006083;PRODUTOS PARA DIALISE;49351786000261 - BAXTER HOSPITALAR LTDA;CADUCO/CANCELADO;;MEDICAMENTO
L-ORNITINA L-ASPARTATO;20/12/1999;1999;NOVO;135480112;01/12/2004;25000021556;PRODUTOS NAO ENQUADRADOS EM CLASSES TERAPEUTICAS;64858525000145 - MONSANTO DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
LASIX;20/12/1999;1999;NOVO;113000052;01/04/2023;25992009665;DIURETICOS SIMPLES;02685377000157 - SANOFI-AVENTIS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
NASONEX;20/12/1999;1999;NOVO;100930195;01/06/2008;25000006376;PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
OCTOSTIM;20/12/1999;1999;NOVO;128760008;01/12/2004;25000031250;HORMONIOS DA HIPOFISE;74232034000148 - LABORATÓRIOS FERRING LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ROACUTAN;20/12/1999;1999;NOVO;101000182;01/10/2027;25001006518;PRODUTOS ANTI-ACNE;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;VÁLIDO;ISOTRETINOÍNA;MEDICAMENTO
NATRILIX;22/12/1999;1999;NOVO;112780048;01/01/2025;25992016622;DIURETICOS SIMPLES;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;VÁLIDO;INDAPAMIDA;MEDICAMENTO
TRIVASTAL;22/12/1999;1999;NOVO;112780050;01/09/2015;25992012569;VASODILATADORES;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DORMONID;13/01/2000;2000;NOVO;101000135;01/01/2020;25001010622;HIPNOTICOS;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
MARCAINA;13/01/2000;2000;NOVO;116180100;01/06/2011;25000049810;ANESTESICOS LOCAIS;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
NEUMEGA;13/01/2000;2000;NOVO;121100115;01/01/2010;25000020503;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE;61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SILKIS;13/01/2000;2000;NOVO;129160030;01/01/2020;25000014934;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;00317372000146 - GALDERMA BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
XYLOCAINA;13/01/2000;2000;NOVO;116180101;01/06/2021;25000049811;ANESTESICOS LOCAIS;60318797000100 - ASTRAZENECA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CELLASENE;17/01/2000;2000;NOVO;112280001;01/01/2005;25000048948;FITOTERAPICOS ASSOCIADOS;10917532000141 - N. LANDIM COMERCIO LTDA   -   MATRIZ;CADUCO/CANCELADO;;MEDICAMENTO
BETA-OPHTIOLE;21/01/2000;2000;NOVO;119610002;01/01/2015;25000020123;ANTIGLAUCOMATOSOS;27011022000103 - BL INDÚSTRIA OTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
NIQUITIN;21/01/2000;2000;NOVO;101070153;01/07/2019;25000030044;ANTITABAGICO;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TAMIFLU;21/01/2000;2000;NOVO;101000555;01/01/2025;25000027850;ANTIVIROTICOS;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;VÁLIDO;FOSFATO DE OSELTAMIVIR;MEDICAMENTO
ACTONEL;28/01/2000;2000;NOVO;113000269;01/01/2025;25000011296;SUPRESSORES DA REABSORCAO OSSEA;02685377000157 - SANOFI-AVENTIS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
LOCOID;28/01/2000;2000;NOVO;100430682;01/01/2010;25000021676;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
PROZAC;28/01/2000;2000;NOVO;112600007;01/05/2028;25001000507;ANTIDEPRESSIVOS;43940618000144 - ELI LILLY DO BRASIL LTDA;VÁLIDO;CLORIDRATO DE FLUOXETINA;MEDICAMENTO
RIFAPENTINA;28/01/2000;2000;NOVO;113000268;01/02/2005;25000009819;TUBERCULOSTATICOS;02685377000157 - SANOFI-AVENTIS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
THYROGEN;28/01/2000;2000;NOVO;105740043;01/01/2005;25000030676;KIT PARA DIAGNOSTICO;16921603000166 - NOVO NORDISK PRODUÇÃO FARMACÊUTICA DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BENZETACIL;31/01/2000;2000;NOVO;100430686;01/03/2027;25992005682;PENICILINA G E DERIVADOS (BENZILPENICILINAS);61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;BENZILPENICILINA BENZATINA;MEDICAMENTO
NATURAL WEALTH BETA CAROTENO;01/02/2000;2000;NOVO;136310001;01/01/2005;25000020790;VITAMINAS E SUPLEMENTOS MINERAIS;25104365000197 - TRANSCONTINENTAL TRADING LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PARIET;01/02/2000;2000;NOVO;112363348;01/04/2029;25000028710;ANTIULCEROSOS;51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA;VÁLIDO;RABEPRAZOL SÓDICO;MEDICAMENTO
TEMODAL;01/02/2000;2000;NOVO;100930206;01/01/2010;25000020908;CITOSTATICOS ALQUILANTES;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
DIAMICRON;03/02/2000;2000;NOVO;112780004;01/07/2029;25992011749;ANTIDIABETICOS;42374207000176 - LABORATÓRIOS SERVIER DO BRASIL LTDA;VÁLIDO;GLICLAZIDA;MEDICAMENTO
TANDRILAX;05/02/2000;2000;NOVO;105730055;01/10/2025;25992025025;ANTINFLAMATORIOS;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;VÁLIDO;CAFEÍNA ANIDRA +  CARISOPRODOL +  DICLOFENACO SÓDICO +  PARACETAMOL;MEDICAMENTO
FLOXSTAT;07/02/2000;2000;NOVO;112363340;01/07/2003;25001005486;ANTIBIOTICOS SISTEMICOS SIMPLES;51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TRIQUILAR;10/02/2000;2000;NOVO;100200054;01/10/2014;25001004978;ANTICONCEPCIONAIS;56990534000167 - SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DEXAMYTREX;18/02/2000;2000;NOVO;119610003;01/02/2010;25000020527;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;27011022000103 - BL INDÚSTRIA OTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ROCALTROL;18/02/2000;2000;NOVO;101000073;01/09/2025;25001013806;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
EFORTIL;24/02/2000;2000;NOVO;103670023;01/11/2016;25992005178;VASOCONSTRITORES E HIPERTENSORES;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
BETAGAN;25/02/2000;2000;NOVO;101470041;01/07/2023;25001014905;ANTIGLAUCOMATOSOS;43426626000177 - ALLERGAN PRODUTOS FARMACÊUTICOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
GABALLON;02/03/2000;2000;NOVO;100140024;01/05/2013;25992002567;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS;33517558000106 - QUIMICA FARMACEUTICA NIKKHO DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DUOFILM;10/03/2000;2000;NOVO;106750004;01/05/2029;25991014040;CERATOLITICOS E CERATOPLASTICOS;63064653000154 - LABORATÓRIOS STIEFEL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MESACOL;13/03/2000;2000;NOVO;106390248;01/03/2025;25351320916;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;60397775000174 - TAKEDA PHARMA LTDA.;VÁLIDO;MESALAZINA;MEDICAMENTO
ACIDO DIMERCAPTOSUCCINICO;21/03/2000;2000;NOVO;113980022;01/03/2005;25000012182;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
AGREGADO DE ALBUMINA + ALBUMINA HUMANA;21/03/2000;2000;NOVO;126940010;01/03/2005;25000009739;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ALBUMINA HUMANA;21/03/2000;2000;NOVO;113980013;01/03/2005;25000007619;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ALBUNEX;21/03/2000;2000;NOVO;113980011;01/03/2005;25000019719;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;VÁLIDO;;MEDICAMENTO
BETIATIDE;21/03/2000;2000;NOVO;113980014;01/03/2005;25000007637;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DIETILENO TRIAMINO PENTACETATO (TCK 6);21/03/2000;2000;NOVO;126940014;01/03/2005;25000030025;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DIHIDROCLORETO DE BICISTATO E DATATO DISSODICO;21/03/2000;2000;NOVO;126940011;01/03/2005;25000029441;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
FITATO DE SODIO;21/03/2000;2000;NOVO;126940013;01/03/2005;25000004813;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
FLUORETO ESTANOSO;21/03/2000;2000;NOVO;132490006;01/03/2005;25000018283;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;71865604000149 - ACTIVA-PRODUTOS CIENTÍFICOS E SERVIÇOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
IOTALAMATO DE MEGLUMINA;21/03/2000;2000;NOVO;113980023;01/03/2005;25000001063;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
OXIDRONATO DE SÓDIO;21/03/2000;2000;NOVO;113980016;01/03/2005;25000007635;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PERRENATO POTASSICO + TISSULFATO DE SODIO PENTAHIDRATADO;21/03/2000;2000;NOVO;126940008;01/03/2005;25000020948;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PIROFOSFATO DE SODIO;21/03/2000;2000;NOVO;113980017;01/03/2005;25000007624;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PIROFOSFATO DE SODIO DECAHIDRATADO;21/03/2000;2000;NOVO;126940015;01/03/2005;25000021003;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PIROFOSFATO DE SODIO DECAHIDRATADO(TCK7 ANGIOCIS);21/03/2000;2000;NOVO;126940012;01/03/2005;25000020932;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SAL SODICO DO ACIDO METILENODISFOSFONICO;21/03/2000;2000;NOVO;132490005;01/03/2005;25000018285;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;71865604000149 - ACTIVA-PRODUTOS CIENTÍFICOS E SERVIÇOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SULFETO DE RENIO;21/03/2000;2000;NOVO;126940009;01/03/2005;25000020931;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ÁCIDO MEDRÔNICO;21/03/2000;2000;NOVO;113980008;01/03/2005;25000007629;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ISOTREXOL;30/03/2000;2000;NOVO;106750066;01/03/2015;25000020788;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;63064653000154 - LABORATÓRIOS STIEFEL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ZANAMIVIR (PORT 344/98 L C-1);30/03/2000;2000;NOVO;100250107;01/03/2005;25000009541;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);33172560000182 - GLAXO WELLCOME S/A;CADUCO/CANCELADO;;MEDICAMENTO
ÁCIDO TIÓTICO;30/03/2000;2000;NOVO;101180156;01/03/2005;25000011854;MODULADORES DO METABOLISMO E DA DIGESTAO;62462015000129 - APSEN FARMACEUTICA S/A;CADUCO/CANCELADO;;MEDICAMENTO
ALEVE;05/04/2000;2000;NOVO;101000554;01/01/2005;25000001260;ANALGESICOS NAO NARCOTICOS;33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
ROZEX;05/04/2000;2000;NOVO;129160007;01/08/2025;25000009904;OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS;00317372000146 - GALDERMA BRASIL LTDA;VÁLIDO;METRONIDAZOL;MEDICAMENTO
AROMASIN;06/04/2000;2000;NOVO;103840001;01/04/2005;25000011251;ANTINEOPLASICO;71699490000104 - PHARMACIA BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BALSALAZIDA DISSODICA;06/04/2000;2000;NOVO;103850089;01/04/2005;25000009542;ANTINFLAMATORIOS;45793403000173 - ASTRA QUIMICA E FARMACEUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORID. DE LID.+ GLIC.DE CLOREX.+ METILP.+  PROPILPARABENO;06/04/2000;2000;NOVO;122140030;01/04/2005;25000011462;ANESTESICOS LOCAIS;55980684000127 - ZODIAC PRODUTOS FARMACÊUTICOS S/A;CADUCO/CANCELADO;;MEDICAMENTO
DOFETILIDE;06/04/2000;2000;NOVO;102160068;01/04/2005;25000012445;ANTIARRITMICOS;46070868003699 - LABORATÓRIOS PFIZER LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MICETAL;06/04/2000;2000;NOVO;112130217;01/04/2020;25000045333;ANTIMICOTICOS PARA USO TOPICO;53162095000106 - BIOSINTÉTICA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SERETIDE;06/04/2000;2000;NOVO;100250102;01/06/2009;25000001013;ANTIASMATICOS;33172560000182 - GLAXO WELLCOME S/A;CADUCO/CANCELADO;;MEDICAMENTO
LOCERYL;11/04/2000;2000;NOVO;129160036;01/08/2029;25000013869;ANTIMICOTICOS PARA USO TOPICO;00317372000146 - GALDERMA BRASIL LTDA;VÁLIDO;AMOROLFINA;MEDICAMENTO
CLARITIN;17/04/2000;2000;NOVO;100930169;01/10/2013;25000005239;ANTI-HISTAMINICOS SISTEMICOS;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
KLIZIN;17/04/2000;2000;NOVO;143810054;01/11/2003;25001001299;ESTIMULANTES DO APETITE;02814497000107 - CIMED INDUSTRIA S.A;CADUCO/CANCELADO;;MEDICAMENTO
PLAVIX;17/04/2000;2000;NOVO;120330022;01/05/2008;25000036451;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR;61099966000112 - SANOFI - SYNTHELABO FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
FRONTAL XR;19/04/2000;2000;NOVO;123890015;01/03/2005;25991001350;ANSIOLITICOS SIMPLES;71699490000104 - PHARMACIA BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
IMPLANON;20/04/2000;2000;NOVO;101710088;01/04/2025;25000021858;ANTICONCEPCIONAIS;03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
KIDDI PHARMATON;20/04/2000;2000;NOVO;103670128;01/04/2010;25000055432;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS;60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
RAPAMUNE;20/04/2000;2000;NOVO;121100117;01/04/2020;25000045510;AGENTE IMUNOSUPRESSOR;61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SONATA;20/04/2000;2000;NOVO;121100116;01/04/2005;25000038081;HIPNOTICOS;61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
EXTRATO SECO DE HYPERICUM;25/04/2000;2000;NOVO;104290093;01/02/2005;25000011591;FITOTERAPICO SIMPLES;14372981000102 - BAYER S.A.;CADUCO/CANCELADO;;MEDICAMENTO
ACTOS;02/05/2000;2000;NOVO;105530238;01/05/2020;25000045938;ANTIDIABETICOS;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PREFEST;02/05/2000;2000;NOVO;112363349;01/04/2010;25000053650;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SINERGEN;02/05/2000;2000;NOVO;112130218;01/05/2020;25000053888;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;53162095000106 - BIOSINTÉTICA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TISSUCOL;04/05/2000;2000;NOVO;101850031;01/07/2005;25000006276;PRODUTOS PARA USO EM CIRURGIA;33352428000152 - IMMUNO PRODUTOS BIOLÓGICOS E QUÍMICOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
VENIMMUNA N;04/05/2000;2000;NOVO;101510110;01/12/2010;25000004939;IMUNOGLOBULINAS;62969589000198 - CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SALICILATO DE METILA + ASSOCIACOES;08/05/2000;2000;NOVO;120290002;01/03/2004;25000005112;RELAXANTES MUSCULARES;64668981000122 - INDÚSTRIA FARMACÊUTICA E PERFUMARIA BIOKOSMA LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
CLOB-X;11/05/2000;2000;NOVO;129160066;01/06/2029;25351029741;CORTICOSTEROIDES TOPICOS;00317372000146 - GALDERMA BRASIL LTDA;VÁLIDO;PROPIONATO DE CLOBETASOL;MEDICAMENTO
PIASCLEDINE;19/05/2000;2000;NOVO;100820144;01/05/2010;25000008663;FITOTERAPICO COMPOSTO + OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;60499639000195 - ABBOTT PRODUTOS PARA SAÚDE LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
VAC. COMB.CONTRA DIFTERIA,TETANO,PERTUSSIS AC. E HEPATITE BR-DNA;19/05/2000;2000;NOVO;101070158;01/05/2005;25000002443;VACINAS;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
REBETOL;22/05/2000;2000;NOVO;100930200;01/04/2009;25000004594;ANTIVIROTICOS;33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.;CADUCO/CANCELADO;;MEDICAMENTO
VACINA CONTRA SARAMPO E RUBEOLA;22/05/2000;2000;NOVO;116090035;01/06/2010;25000021952;VACINAS;24040487000102 - SANOFI PASTEUR LTDA;CADUCO/CANCELADO;;MEDICAMENTO
VACINA CONTRA VARICELA  BIKEN;22/05/2000;2000;NOVO;116090036;01/06/2010;25000029035;VACINAS;24040487000102 - SANOFI PASTEUR LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BICONCOR;24/05/2000;2000;NOVO;100890201;01/09/2025;25000002810;DIURETICOS ASSOCIADOS A BETABLOQUEADORES;33069212000184 - MERCK S/A;VÁLIDO;HIDROCLOROTIAZIDA +  HEMIFUMARATO DE BISOPROLOL;MEDICAMENTO
TRIFAMOX IBL;24/05/2000;2000;NOVO;100890250;01/05/2010;25000023357;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;33069212000184 - MERCK S/A;CADUCO/CANCELADO;;MEDICAMENTO
TEQUIN;25/05/2000;2000;NOVO;101800274;01/12/2009;25000023886;ANTIBIOTICOS SISTEMICOS SIMPLES;56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
HIDROXIMETILENO DIFOSFATO DE SODIO;31/05/2000;2000;NOVO;126940017;01/05/2005;25000004814;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PENTETATO DE CALCIO TRISSODICO;31/05/2000;2000;NOVO;113980024;01/05/2005;25000007628;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SATUMOMAB PENDETIDE;31/05/2000;2000;NOVO;126940016;01/05/2005;25000020960;PRODUTOS PARA DIAGNOSTICO POR IMAGEM;47334701000120 - REM INDUSTRIA E COMERCIO LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TIORFAN;31/05/2000;2000;NOVO;101070145;01/01/2009;25000018181;ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TRIFOSMINA + FUROMINA;31/05/2000;2000;NOVO;113980012;01/03/2005;25000007639;CONTRASTES RADIOLOGICOS;30153811000193 - GUERBET IMAGEM DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
APROZIDE;06/06/2000;2000;NOVO;120330001;01/06/2010;25000045559;ANTI-HIPERTENSIVOS;61099966000112 - SANOFI - SYNTHELABO FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
