NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;ANO_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO;TIPO_PRODUTO
PARACETAMOL;27/09/2002;2002;GENÉRICO;103700388;01/09/2022;25351165293;ANALGESICOS NAO NARCOTICOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;CADUCO/CANCELADO;;MEDICAMENTO
AMOXICILINA;01/10/2002;2002;GENÉRICO;100430802;01/10/2027;25351168623;PENICILINA DE AMPLO ESPECTRO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;AMOXICILINA TRI-HIDRATADA;MEDICAMENTO
CLOTRIMAZOL;01/10/2002;2002;GENÉRICO;123520068;01/10/2007;25351009884;ANTIMICOTICO;73663650000190 - RANBAXY FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
GLIBENCLAMIDA;01/10/2002;2002;GENÉRICO;123520106;01/10/2027;25351165109;ANTIDIABETICOS;73663650000190 - RANBAXY FARMACÊUTICA LTDA;VÁLIDO;GLIBENCLAMIDA;MEDICAMENTO
CLORIDRATO DE TERBINAFINA;02/10/2002;2002;GENÉRICO;102350561;01/10/2027;25351028936;ANTIMICOTICO;57507378000365 - EMS S/A;VÁLIDO;CLORIDRATO DE TERBINAFINA;MEDICAMENTO
CIPROFLOXACINO;03/10/2002;2002;GENÉRICO;123520088;01/10/2007;25351017397;ANTIBIOTICOS SISTEMICOS SIMPLES;73663650000190 - RANBAXY FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL;04/10/2002;2002;GENÉRICO;125680055;01/10/2032;25351172258;ANTIMICOTICOS PARA USO TOPICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE AMITRIPTILINA;04/10/2002;2002;GENÉRICO;123520110;01/10/2012;25351177157;ANTIDEPRESSIVOS;73663650000190 - RANBAXY FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DEXAMETASONA;04/10/2002;2002;GENÉRICO;125680056;01/10/2027;25351186003;GLICOCORTICOIDES SISTEMICOS;73856593000166 - PRATI DONADUZZI & CIA LTDA;VÁLIDO;DEXAMETASONA;MEDICAMENTO
DEXAMETASONA;07/10/2002;2002;GENÉRICO;101810408;01/10/2017;25351191415;GLICOCORTICOIDES SISTEMICOS;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DIAZEPAM;09/10/2002;2002;GENÉRICO;123520104;01/10/2027;25351165750;ANSIOLITICOS SIMPLES;73663650000190 - RANBAXY FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE PAROXETINA;10/10/2002;2002;GENÉRICO;123520102;01/10/2027;25351174566;ANTIDEPRESSIVOS;73663650000190 - RANBAXY FARMACÊUTICA LTDA;VÁLIDO;CLORIDRATO DE PAROXETINA;MEDICAMENTO
ITRACONAZOL;10/10/2002;2002;GENÉRICO;123520109;01/10/2007;25351179177;ANTIMICOTICOS SISTEMICOS;73663650000190 - RANBAXY FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
REFERÊNCIA - NORVASC;10/10/2002;2002;GENÉRICO;100680885;01/10/2007;25351171095;ANTI-HIPERTENSIVOS SIMPLES;56994502000130 - NOVARTIS BIOCIENCIAS S.A;CADUCO/CANCELADO;;MEDICAMENTO
LOVASTATINA;11/10/2002;2002;GENÉRICO;147420007;01/10/2007;25351008069;ANTILIPEMICOS;03493726000100 - BIOLUNIS INTERNACIONAL INDÚSTRIA DE MEDICAMENTOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CEFADROXILA;18/10/2002;2002;GENÉRICO;100430814;01/10/2027;25351172979;CEFALOSPORINAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;CEFADROXILA;MEDICAMENTO
CICLOSPORINA;18/10/2002;2002;GENÉRICO;105830262;01/10/2007;25351017049;AGENTE IMUNOSUPRESSOR;45992062000165 - GERMED FARMACEUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
HALOPERIDOL;18/10/2002;2002;GENÉRICO;103700390;01/10/2027;25351163778;NEUROLEPTICOS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;HALOPERIDOL;MEDICAMENTO
NITRATO DE MICONAZOL;18/10/2002;2002;GENÉRICO;101810393;01/10/2017;25351169271;ANTIMICOTICOS PARA USO TOPICO;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
VALERATO DE BETAMETASONA;18/10/2002;2002;GENÉRICO;100430799;01/10/2012;25351165439;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
VALERATO DE BETAMETASONA;18/10/2002;2002;GENÉRICO;100430803;01/10/2012;25351165437;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
MALEATO DE DEXCLORFENIRAMINA;24/10/2002;2002;GENÉRICO;104650350;01/10/2012;25351180345;ANTI-HISTAMINICOS SISTEMICOS;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MALEATO DE DEXCLORFENIRAMINA;24/10/2002;2002;GENÉRICO;125680058;01/10/2027;25351185999;ANTI-HISTAMINICOS SISTEMICOS;73856593000166 - PRATI DONADUZZI & CIA LTDA;VÁLIDO;MALEATO DE DEXCLORFENIRAMINA;MEDICAMENTO
NITRATO DE MICONAZOL;24/10/2002;2002;GENÉRICO;125680057;01/10/2012;25351169337;ANTIMICOTICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
SULFATO DE TERBUTALINA + GUAIFESINA;24/10/2002;2002;GENÉRICO;101810406;01/10/2012;25351176582;BRONCODILATADORES;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
finasterida;24/10/2002;2002;GENÉRICO;100430815;01/10/2027;25351170485;INIBIDOR DA ALFA-REDUTASE;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;FINASTERIDA;MEDICAMENTO
finasterida;24/10/2002;2002;GENÉRICO;100430816;01/10/2012;25351170527;INIBIDOR DA ALFA-REDUTASE;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE DILTIAZEM;28/10/2002;2002;GENÉRICO;146680046;01/10/2007;25351040095;ANTIANGINOSOS E VASODILATADORES;02962484000185 - APOTEX DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BETAMETASONA;30/10/2002;2002;GENÉRICO;101810415;01/10/2017;25351193783;GLICOCORTICOIDES SISTEMICOS;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CITALOPRAM;30/10/2002;2002;GENÉRICO;123520101;01/10/2027;25351172028;ANTIDEPRESSIVOS;73663650000190 - RANBAXY FARMACÊUTICA LTDA;VÁLIDO;HIDROBROMETO DE CITALOPRAM (PORT. 344/98 LISTA C 1);MEDICAMENTO
METILDOPA;05/11/2002;2002;GENÉRICO;102350564;01/11/2027;25351015845;ANTI-HIPERTENSIVOS SIMPLES;57507378000365 - EMS S/A;VÁLIDO;METILDOPA;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;06/11/2002;2002;GENÉRICO;100430797;01/11/2027;25351167420;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;06/11/2002;2002;GENÉRICO;100430798;01/11/2027;25351167415;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA;MEDICAMENTO
TOBRAMICINA + DEXAMETASONA;06/11/2002;2002;GENÉRICO;100230250;01/11/2017;25351176825;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;60412327000100 - ALCON LABORATÓRIOS DO BRASIL LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
TENOXICAM;11/11/2002;2002;GENÉRICO;105830248;01/11/2012;25351015764;ANTINFLAMATORIOS ANTIREUMATICOS;45992062000165 - GERMED FARMACEUTICA LTDA;VÁLIDO;TENOXICAM;MEDICAMENTO
AMPLACILINA;13/11/2002;2002;GENÉRICO;100680896;01/11/2007;25351179001;ANTIBIOTICOS SISTEMICOS SIMPLES;56994502000130 - NOVARTIS BIOCIENCIAS S.A;CADUCO/CANCELADO;;MEDICAMENTO
FUMARATO DE BISOPROLOL;13/11/2002;2002;GENÉRICO;100470372;01/11/2007;25351171154;BETABLOQUEADORES SIMPLES;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
LISINOPRIL;13/11/2002;2002;GENÉRICO;103700391;01/11/2027;25351171729;ANTI-HIPERTENSIVOS SIMPLES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;LISINOPRIL DI-HIDRATADO;MEDICAMENTO
CLORIDRATO DE TRAMADOL;14/11/2002;2002;GENÉRICO;102350566;01/11/2003;25351201888;ANALGESICOS NARCOTICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
DROPROPIZINA;19/11/2002;2002;GENÉRICO;104971232;01/11/2027;25351200169;ANTITUSSIGENOS;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;VÁLIDO;DROPROPIZINA;MEDICAMENTO
GLICLAZIDA;19/11/2002;2002;GENÉRICO;102350567;01/11/2003;25351200071;ANTIDIABETICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
BETAMETASONA;20/11/2002;2002;GENÉRICO;102350568;01/11/2007;25351169341;GLICOCORTICOIDES SISTEMICOS;57507378000365 - EMS S/A;VÁLIDO;BETAMETASONA;MEDICAMENTO
LORATADINA+SULFATO DE PSEUDOEFEDRINA;21/11/2002;2002;GENÉRICO;102350569;01/11/2022;25351192686;ANTI-HISTAMINICOS SISTEMICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
BETAMETASONA;22/11/2002;2002;GENÉRICO;102350570;01/11/2027;25351169796;GLICOCORTICOIDES SISTEMICOS;57507378000365 - EMS S/A;VÁLIDO;BETAMETASONA;MEDICAMENTO
CLOTRIMAZOL + ACETATO DE DEXAMETASONA;29/11/2002;2002;GENÉRICO;101810418;01/11/2017;25351202320;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DIPIRONA SÓDICA;29/11/2002;2002;GENÉRICO;101810416;01/11/2017;25351192757;ANALGESICOS NAO NARCOTICOS;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
NITRATO DE MICONAZOL;02/12/2002;2002;GENÉRICO;101810410;01/12/2017;25351197439;ANTIMICOTICOS PARA USO TOPICO;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
piperacilina sódica + tazobactam sódico;02/12/2002;2002;GENÉRICO;100430810;01/12/2027;25351179300;PENICILINAS PENICILINASE-RESISTENTES;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;PIPERACILINA SÓDICA +  TAZOBACTAM SÓDICO;MEDICAMENTO
amoxicilina sódica + clavulanato de potássio;03/12/2002;2002;GENÉRICO;100430811;01/12/2027;25351170513;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;AMOXICILINA SÓDICA +  CLAVULANATO DE POTÁSSIO;MEDICAMENTO
CLORIDRATO DE CIPROFLOXACINO;09/12/2002;2002;GENÉRICO;100230249;01/12/2007;25351201451;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;60412327000100 - ALCON LABORATÓRIOS DO BRASIL LTDA.;CADUCO/CANCELADO;;MEDICAMENTO
MELOXICAM;11/12/2002;2002;GENÉRICO;100890292;01/12/2027;25351027439;ANTINFLAMATORIOS;33069212000184 - MERCK S/A;VÁLIDO;MELOXICAM;MEDICAMENTO
claritromicina;11/12/2002;2002;GENÉRICO;100890293;01/12/2017;25351168620;ANTIBIOTICO (ANTIMICOTICO);33069212000184 - MERCK S/A;CADUCO/CANCELADO;;MEDICAMENTO
BETAMETASONA;12/12/2002;2002;GENÉRICO;100430818;01/12/2012;25351175892;GLICOCORTICOIDES SISTEMICOS;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;BETAMETASONA;MEDICAMENTO
CLORIDRATO DE TERBINAFINA;12/12/2002;2002;GENÉRICO;125680059;01/12/2017;25351186018;ANTIMICOTICOS PARA USO TOPICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
PROPIONATO DE CLOBETASOL;12/12/2002;2002;GENÉRICO;118610117;01/12/2012;25351176228;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;64088172000141 - ATIVUS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;20/12/2002;2002;GENÉRICO;100430820;01/12/2027;25351204814;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA +  SULFATO DE NEOMICINA;MEDICAMENTO
CLORIDRATO DE RANITIDINA;20/12/2002;2002;GENÉRICO;151670002;01/12/2007;25351171535;ANTIACIDOS E ANTIULCEROSOS;04301884000175 - AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;CADUCO/CANCELADO;;MEDICAMENTO
LISINOPRIL;20/12/2002;2002;GENÉRICO;100680886;01/12/2007;25351171098;ANTI-HIPERTENSIVOS;56994502000130 - NOVARTIS BIOCIENCIAS S.A;CADUCO/CANCELADO;;MEDICAMENTO
AMPICILINA;01/01/2003;2003;GENÉRICO;104650352;01/01/2013;25351180355;PENICILINA DE AMPLO ESPECTRO;29785870000103 - LABORATÓRIO NEO QUÍMICA COMÉRCIO E INDÚSTRIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BETAMETASONA;01/01/2003;2003;GENÉRICO;125680060;01/01/2028;25351202603;GLICOCORTICOIDES SISTEMICOS;73856593000166 - PRATI DONADUZZI & CIA LTDA;VÁLIDO;BETAMETASONA;MEDICAMENTO
BETAMETASONA;01/01/2003;2003;GENÉRICO;125680061;01/01/2008;25351202604;GLICOCORTICOIDES SISTEMICOS;73856593000166 - PRATI DONADUZZI & CIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
DICLORIDRATO DE CETIRIZINA;01/01/2003;2003;GENÉRICO;100470375;01/01/2008;25351171152;ANTIALERGICOS;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ATENOLOL + CLORTALIDONA;08/01/2003;2003;GENÉRICO;100890288;01/01/2008;25351163821;ANTI-HIPERTENSIVOS;33069212000184 - MERCK S/A;CADUCO/CANCELADO;;MEDICAMENTO
CAPTOPRIL;08/01/2003;2003;GENÉRICO;102980314;01/01/2028;25351194790;ANTI-HIPERTENSIVOS SIMPLES;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;VÁLIDO;CAPTOPRIL;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;08/01/2003;2003;GENÉRICO;100430821;01/01/2028;25351193196;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;VÁLIDO;CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA +  SULFATO DE NEOMICINA;MEDICAMENTO
CLORIDRATO DE NAFAZOLINA;08/01/2003;2003;GENÉRICO;101810413;01/01/2018;25351199631;DESCONGESTIONANTES NASAIS TOPICOS;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CAPTOPRIL;09/01/2003;2003;GENÉRICO;105830265;01/01/2018;25351005017;ANTI-HIPERTENSIVOS SIMPLES;45992062000165 - GERMED FARMACEUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
FUMARATO DE CETOTIFENO;10/01/2003;2003;GENÉRICO;102350576;01/01/2004;25351206499;OUTROS MEDICAMENTOS ANTIASMATICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
PROPINATO DE CLOBETASOL;10/01/2003;2003;GENÉRICO;118610122;01/01/2018;25351176248;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;64088172000141 - ATIVUS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
BUTILBROMETO DE ESCOPOLAMINA;13/01/2003;2003;GENÉRICO;125680063;01/01/2028;25351192267;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS;73856593000166 - PRATI DONADUZZI & CIA LTDA;VÁLIDO;BUTILBROMETO DE ESCOPOLAMINA;MEDICAMENTO
FLUCONAZOL;13/01/2003;2003;GENÉRICO;102350578;01/01/2028;25351202645;ANTIMICOTICOS SISTEMICOS;57507378000365 - EMS S/A;VÁLIDO;FLUCONAZOL;MEDICAMENTO
TIOCONAZOL;13/01/2003;2003;GENÉRICO;125680062;01/01/2008;25351202607;ANTIMICOTICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CORETO DE POTÁSSIO;16/01/2003;2003;GENÉRICO;122050049;01/12/0002;25351169700;ELETROLITOS SIMPLES;39547575000164 - LABORATORIO ENILA IND E COM DE PROD. QUIM E FARM. S/A;CADUCO/CANCELADO;;MEDICAMENTO
DIAZEPAM (PORT 344/98 LT B1);16/01/2003;2003;GENÉRICO;104971235;01/01/2018;25351201499;ANSIOLITICOS SIMPLES;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;CADUCO/CANCELADO;;MEDICAMENTO
ACETATO DE HIDROCORTISONA;17/01/2003;2003;GENÉRICO;118610123;01/01/2018;25351176205;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;64088172000141 - ATIVUS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CETOPROFENO;17/01/2003;2003;GENÉRICO;102350579;01/01/2013;25351176454;ANTINFLAMATORIOS ANTIREUMATICOS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
PIROXICAM;17/01/2003;2003;GENÉRICO;118610124;01/01/2018;25351201498;ANTINFLAMATORIOS ANTIREUMATICOS;64088172000141 - ATIVUS FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TIOCONAZOL + TINIDAZOL;17/01/2003;2003;GENÉRICO;102350580;01/01/2028;25351205726;PRODUTOS GINECOLOGICOS ANTIINFECCIOSOS TOPICOS ASSOCIACAO MEDICAMENTOSA;57507378000365 - EMS S/A;VÁLIDO;TINIDAZOL +  TIOCONAZOL;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;21/01/2003;2003;GENÉRICO;101810421;01/01/2018;25351205465;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL+DIPROPRIONATO DE BETAMETASONA+SULFATO DE NEOMICINA;21/01/2003;2003;GENÉRICO;101810423;01/01/2018;25351211665;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE DOPAMINA;21/01/2003;2003;GENÉRICO;103700395;01/01/2028;25351184956;VASOCONSTRITORES E HIPERTENSORES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;CLORIDRATO DE DOPAMINA;MEDICAMENTO
MALEATO DE TIMOLOL;21/01/2003;2003;GENÉRICO;148690036;01/02/2007;25351184302;ANTIGLAUCOMATOSOS;03436841000134 - FORMIL FARMACÊUTICA LTDA;VÁLIDO;MALEATO DE TIMOLOL;MEDICAMENTO
CEFAZOLINA SÓDICA;23/01/2003;2003;GENÉRICO;151670003;01/01/2028;25351202371;CEFALOSPORINAS;04301884000175 - AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;VÁLIDO;CEFAZOLINA SÓDICA;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;23/01/2003;2003;GENÉRICO;102350582;01/01/2023;25351204513;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;23/01/2003;2003;GENÉRICO;102350583;01/01/2018;25351204520;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
DICLOFENACO DIETILAMÔNIO;23/01/2003;2003;GENÉRICO;102350581;01/01/2028;25351173248;ANTINFLAMATORIOS;57507378000365 - EMS S/A;VÁLIDO;DICLOFENACO DIETILAMÔNIO;MEDICAMENTO
LISINOPRIL;23/01/2003;2003;GENÉRICO;100470376;01/01/2028;25351181912;ANTI-HIPERTENSIVOS SIMPLES;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA;23/01/2003;2003;GENÉRICO;112130301;01/01/2023;25351196310;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;53162095000106 - BIOSINTÉTICA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
TIOCONAZOL;27/01/2003;2003;GENÉRICO;125680064;01/01/2008;25351202609;ANTIMICOTICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE AMITRIPTILINA;29/01/2003;2003;GENÉRICO;126750028;01/02/2013;25351215794;ANTIDEPRESSIVOS;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;CADUCO/CANCELADO;;MEDICAMENTO
ESTAVUDINA;29/01/2003;2003;GENÉRICO;151670004;01/02/2008;25351182403;ANTIVIROTICOS;04301884000175 - AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL;03/02/2003;2003;GENÉRICO;101810424;01/01/2018;25351212017;ANTIMICOTICOS PARA USO TOPICO;50929710000179 - MEDLEY INDÚSTRIA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CLORIDRATO DE METFORMINA;03/02/2003;2003;GENÉRICO;123520105;01/02/2018;25351168808;ANTIDIABETICOS;73663650000190 - RANBAXY FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
CITALOPRAM;06/02/2003;2003;GENÉRICO;100470377;01/02/2028;25351189193;ANTIDEPRESSIVOS;61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;VÁLIDO;BROMIDRATO DE CITALOPRAM;MEDICAMENTO
CLORIDRATO DE TERBINAFINA;06/02/2003;2003;GENÉRICO;125680065;01/02/2028;25351209758;ANTIMICOTICOS PARA USO TOPICO;73856593000166 - PRATI DONADUZZI & CIA LTDA;VÁLIDO;CLORIDRATO DE TERBINAFINA;MEDICAMENTO
ITRACONAZOL;06/02/2003;2003;GENÉRICO;126750036;01/02/2013;25351217263;ANTIMICOTICOS SISTEMICOS;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;CADUCO/CANCELADO;;MEDICAMENTO
ALENDRONATO DE SÓDIO;14/02/2003;2003;GENÉRICO;112130310;01/02/2008;25351214828;SUPRESSORES DA REABSORCAO OSSEA;53162095000106 - BIOSINTÉTICA FARMACÊUTICA LTDA;CADUCO/CANCELADO;;MEDICAMENTO
ATENOLOL;14/02/2003;2003;GENÉRICO;103700396;01/02/2028;25351164287;BETABLOQUEADORES SIMPLES;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;ATENOLOL;MEDICAMENTO
CARBOCISTEÍNA;14/02/2003;2003;GENÉRICO;103700397;01/02/2028;25351203000;EXPECTORANTES BALSAMICOS E MUCOLITICO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;VÁLIDO;CARBOCISTEÍNA;MEDICAMENTO
DICLORIDRATO DE CETIRIZINA;14/02/2003;2003;GENÉRICO;125680069;01/02/2028;25351209751;ANTI-HISTAMINICOS SISTEMICOS;73856593000166 - PRATI DONADUZZI & CIA LTDA;VÁLIDO;DICLORIDRATO DE CETIRIZINA;MEDICAMENTO
CLORIDRATO DE TETRACICLINA + ANFOTERICINA B;17/02/2003;2003;GENÉRICO;102350590;01/02/2023;25351214030;PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS;57507378000365 - EMS S/A;CADUCO/CANCELADO;;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;18/02/2003;2003;GENÉRICO;102350591;01/02/2028;25351204798;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;57507378000365 - EMS S/A;VÁLIDO;CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA;MEDICAMENTO
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;18/02/2003;2003;GENÉRICO;102350592;01/02/2028;25351204795;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;57507378000365 - EMS S/A;VÁLIDO;CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA;MEDICAMENTO
AMPICILINA;24/02/2003;2003;GENÉRICO;105530282;01/08/2010;25351011831;PENICILINA DE AMPLO ESPECTRO;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;CADUCO/CANCELADO;;MEDICAMENTO
